neuron_id,cluster_id,recording_id,spike_times
0,2,8,[   318636   1077316   1081483 ... 177391431 177468376 177884989]
1,4,8,[     1699      3864     16470 ... 148702869 177884978 180859997]
2,5,8,[  1891956   1945656   2050102 ... 177068754 177069322 177070137]
3,7,8,[    28875    146241    380984 ... 176858935 177041265 177836649]
4,10,8,[ 61934896  62168373  65354761 ... 177580220 177584922 177590251]
5,12,8,[    80745    314812    489880 ... 177157172 177884969 177884973]
6,13,8,[     1278      4107      5641 ... 177524594 177648256 177884981]
7,16,8,[      259     70920    221207 ... 177887833 177889385 178219494]
8,19,8,[      216      2646      4691 ... 177277983 177279968 177283189]
9,22,8,[     7745     24312     37821 ... 177884984 180860002 180860007]
10,23,8,[    55784     72667     88385 ... 178704612 179168048 180718222]
11,26,8,[      625      1108      1625 ... 177051234 177884981 177884984]
12,27,8,[    44444    357488    459178 ... 177884979 177936515 179241407]
13,38,8,[      920     37412     47721 ... 180308222 180383560 180501636]
14,44,8,[   222730    320694    445201 ... 178084281 178586398 180859998]
15,45,8,[      298      1531      2956 ... 180536749 180549909 180570211]
16,51,8,[     1449      5134    216325 ... 151947363 164227215 172256129]
17,60,8,[    26380     41404     53671 ... 177840186 177888909 180000112]
18,72,8,[    20501   4673311   5314274 ... 178583059 178612491 178655131]
19,90,8,[   224581    308572    318091 ... 177307278 177466241 177884979]
20,96,8,[      456       894      1422 ... 175502858 176543630 177884979]
21,97,8,[      376       704      1048 ... 177884974 177884977 177884988]
22,98,8,[     1591      2903      4238 ... 177963830 177984947 178041739]
23,105,8,[     3575     10472     15025 ... 105606464 105695269 107366559]
24,106,8,[      485      7197      7908 ... 180265790 180272116 180281046]
25,108,8,[     3857     12821     23656 ... 177884978 177884979 180000109]
